#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                 accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----       -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
AEH59100.1           -           8536 aroundLys517         -             50  4.7e-168  543.5  80.1   5   7   9.3e-29   4.2e-27   86.6   4.1     1    48  5688  5733  5688  5735 0.96 amino acid adenylation domain-containing protein/NRPS
AEH59100.1           -           8536 aroundLys517         -             50  4.7e-168  543.5  80.1   6   7   8.5e-29   3.9e-27   86.7   1.9     1    49  6757  6803  6757  6804 0.96 amino acid adenylation domain-containing protein/NRPS
AEH59100.1           -           8536 aroundLys517         -             50  4.7e-168  543.5  80.1   7   7   7.2e-28   3.3e-26   83.7   1.2     2    48  7824  7868  7823  7870 0.96 amino acid adenylation domain-containing protein/NRPS
AEH59099.1           -           3829 aroundLys517         -             50  6.1e-101  326.0  38.9   1   4   1.4e-29   6.3e-28   89.3   4.4     2    49   473   518   472   519 0.96 amino acid adenylation domain-containing protein/NRPS
AEH59099.1           -           3829 aroundLys517         -             50  6.1e-101  326.0  38.9   2   4   1.5e-29   6.9e-28   89.1   4.6     2    47  1556  1599  1555  1602 0.96 amino acid adenylation domain-containing protein/NRPS
AEH59099.1           -           3829 aroundLys517         -             50  6.1e-101  326.0  38.9   3   4   2.2e-27     1e-25   82.1   2.4     2    48  2616  2660  2615  2662 0.95 amino acid adenylation domain-containing protein/NRPS
AEH59099.1           -           3829 aroundLys517         -             50  6.1e-101  326.0  38.9   4   4   1.1e-27   4.8e-26   83.2   4.0     2    49  3677  3722  3676  3723 0.96 amino acid adenylation domain-containing protein/NRPS
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/robi0916/Documents/Wageningen_UR/github/adenylpred_dev/data/a_dom.hmm
# Target file:     /Users/robi0916/Documents/Wageningen_UR/github/adenylpred_dev/data/gbk_to_fasta.faa
# Option settings: hmmsearch --domtblout temp.out --domT 10 --cpu 3 /Users/robi0916/Documents/Wageningen_UR/github/adenylpred_dev/data/a_dom.hmm /Users/robi0916/Documents/Wageningen_UR/github/adenylpred_dev/data/gbk_to_fasta.faa 
# Current dir:     /Users/robi0916/Documents/Wageningen_UR/github/adenylpred_dev
# Date:            Tue Jun 18 09:54:52 2019
# [ok]
